Sim	Year	Month	QM	ontNTS	ontNBS	erieOut	stlouisontOut	iceInd	tidalInd	desprairiesOut	richelieuOut	chateauguayOut	stfrancoisOut	stmauriceOut	lsdamR	saundershwR	ptclaireR	ogdensburgR	cardinalR	iroquoishwR	iroquoistwR	morrisburgR	saunderstwR	cornwallR	summerstownR	jetty1R	varennesR	sorelR	stpierreR	threeriversR	batiscanR	ontNBS_QM1	ontNBS_QM2	ontNBS_QM3	ontNBS_QM4	erieOut_QM1	erieOut_QM2	erieOut_QM3	erieOut_QM4	slonFlow_QM1	slonFlow_QM2	slonFlow_QM3	slonFlow_QM4	ontNTS_QM1	ontNTS_QM2	ontNTS_QM3	ontNTS_QM4	forNTS	indicator	confidence	ontLevel	ontFlow	flowRegime	stlouisFlow	kingstonLevel	alexbayLevel	brockvilleLevel	ogdensburgLevel	cardinalLevel	iroquoishwLevel	iroquoistwLevel	morrisburgLevel	longsaultLevel	saundershwLevel	saunderstwLevel	cornwallLevel	summerstownLevel	lerybeauharnoisLevel	ptclaireLevel	jetty1Level	stlambertLevel	varennesLevel	sorelLevel	lacstpierreLevel	maskinongeLevel	troisrivieresLevel	batiscanLevel	freshetIndicator
5617	2017	1	1	8150	1690	6489	1220	2	0.0143	1174	223	38	174	747	0.973	0.962	0.965	1.076118812	1.093881188	1.114752475	1.116554455	1.194841584	1.071346535	1.247386139	1.325158416	1.076693069	1.083673267	1.072712871	1.041970297	1.038217822	1.002366337	1367.7932810496	1449.2175046357402	1477.0647460104274	1599.6387177428485	6444.0	6310.3375506644	6270.3436393404	6292.69434043231	1130.614242096	1199.992650083747	1183.1552945821431	1114.74635276095	7811.7932810496	7759.555055300139	7747.408385350827	7892.333058175158	7261.605942858223	1	1	74.56	623	nan																									
5618	2017	1	2	8110	1780	6359	1470	2	-0.0142	1310	231	42	219	795	0.929	0.929	1.048	1.175029703	1.219534653	1.308029703	1.326	1.541792079	1.122811881	1.594683168	1.568019802	1.123584158	1.125792079	1.116425743	1.075584158	1.061613861	1.027257426	1602.1368134496	1597.74571311278	1685.9407927409502	1740.622945574829	6489.0	6270.3436393404	6394.3175416144	6289.62724575722	1277.597365096	1237.7137904723472	1154.9917924293254	1173.7813692330085	8091.1368134496	7868.08935245318	8080.25833435535	8030.250191332048	7278.311342105535	1	1	74.57	623	nan																									
5619	2017	1	3	8480	2170	6329	1340	2	0.0103	1383	245	26	197	828	1.028	1.028	0.984	1.244693069	1.282029703	1.447029703	1.466188119	1.700178218	1.131405941	1.690732673	1.697455446	1.130158416	1.139405941	1.122782178	1.066386139	1.044851485	1.011712871	1682.1595814496	1752.55858840558	1788.2630510173135	1788.1753262626455	6359.0	6394.3175416144	6340.0549837004	6288.59390448067	1404.757758096	1272.4288272749473	1260.4095840251427	1098.2036954332643	8041.159581449599	8146.876130019979	8128.318034717713	8076.769230743315	7268.745370227502	1	1	74.58	598	nan																									
5620	2017	1	4	8350	1610	6753	1330	2	0.0007	1358	265	27	170	813	0.994	0.994	0.977	1.255950495	1.28009901	1.462910891	1.47249505	1.672247525	1.125277228	1.690405941	1.703019802	1.131237624	1.143267327	1.129970297	1.088594059	1.069267327	1.045267327	1984.0876510496	1970.98131863774	1918.8418763767768	1931.5960711803168	6329.0	6340.0549837004	6251.4412868104	6295.324923879188	1216.206141696	1220.8833109164673	1069.046875514471	944.9101441030568	8313.0876510496	8311.03630233814	8170.283163187177	8226.920995059505	7288.328056452039	1	2	74.56	611	nan																									
5621	2017	2	5	7440	800	6648	1100	1	-0.0032	1366	236	17	136	839	0.967	0.967	0.994	1.268554455	1.315425743	1.516554455	1.526277228	1.739594059	1.119930693	1.654811881	1.709326733	1.140742574	1.152960396	1.14480198	1.097138614	1.08150495	1.052217822	1793.4393194495997	1778.72915726038	1831.3978486792016	1856.76807412474	6753.0	6251.4412868104	6530.208049150399	6377.015588784156	1319.679138696	1138.5033739118671	996.1451950372766	919.1424018047564	8546.4393194496	8030.17044407078	8361.6058978296	8233.783662908896	7304.556911629041	1	2	74.56	608	nan																									
5622	2017	2	6	8320	1590	6741	1400	2	-0.0047	1452	230	25	144	782	1.153	1.168	1.067	1.270089109	1.332376238	1.518643564	1.524792079	1.732960396	1.115871287	1.658247525	1.737722772	1.145554455	1.164118812	1.136148515	1.083871287	1.063267327	1.034841584	1307.2428562496	1459.30995982566	1590.6784192209234	1608.8354535395013	6648.0	6530.208049150399	6602.5781848464	6574.978547037147	947.777945696	862.0593667492672	820.2330930949072	1023.4724090552482	7955.2428562496	7989.51800897606	8193.256604067323	8183.814000576648	7288.934973097009	1	2	74.59	618	nan																									
5623	2017	2	7	7920	1290	6634	1240	1	0.0125	1340	241	33	150	780	1.048	1.06	0.999	1.26850495	1.329227723	1.504792079	1.505079208	1.691792079	1.109584158	1.58690099	1.714712871	1.134376238	1.148386139	1.134584158	1.083910891	1.07639604	1.037891089	1593.5065002496	1696.5837388680602	1684.5710816036467	1702.086482591492	6741.0	6602.5781848464	6694.8770086804	6606.956423971033	1254.678554296	1096.256429135787	1227.082870385644	1168.249537230291	8334.5065002496	8299.16192371446	8379.448090284046	8309.042906562525	7308.043687041259	1	2	74.62	633	nan																									
5624	2017	2	8	9220	2460	6767	2160	1	-0.0199	1663	358	232	535	825	0.952	0.945	0.992	1.250287129	1.295485149	1.457405941	1.459168317	1.609910891	1.101990099	1.550554455	1.780475248	1.123772277	1.141831683	1.104881188	1.066326733	1.068574257	1.052683168	1552.5395538496	1570.8941909066202	1620.7932034436271	1708.3568633268314	6634.0	6694.8770086804	6624.8291524304	6686.507557477811	1083.512508296	1218.1235029985871	1161.640599909727	1376.8658286294542	8186.539553849599	8265.77119958702	8245.622355874028	8394.864420804643	7301.221182730038	1	2	74.66	657	nan																									
5625	2017	3	9	9050	2230	6849	2670	1	0.0154	2336	516	95	556	935	0.983	0.975	1.005	1.227514851	1.264207921	1.385148515	1.390306931	1.520970297	1.096356436	1.538386139	1.774940594	1.110237624	1.123069307	1.10570297	1.082158416	1.083118812	1.068613861	2001.5749186496	1960.6781214407	1951.417342439741	1987.4318981882293	6767.0	6624.8291524304	6727.531114940401	6766.796122932812	2152.729943296	1818.6976050655871	1861.5483263452968	2147.052730321108	8768.5749186496	8585.5072738711	8678.948457380142	8754.228021121042	7289.845314462253	1	2	74.68	651	nan																									
5626	2017	3	10	7860	1240	6644	2340	1	-0.0154	2193	465	39	213	915	0.985	0.982	1.052	1.183455446	1.216831683	1.300950495	1.306356436	1.410861386	1.088336634	1.50550495	1.786346535	1.083722772	1.08990099	1.070594059	1.062584158	1.06750495	1.058306931	2069.0886650495995	2036.97285108214	2048.6148510650883	1898.9448078605585	6849.0	6727.531114940401	6894.3045010304	6840.6225190585	2267.791468296	2177.2750922705877	2379.9506924516777	2800.5110254599717	8918.0886650496	8764.503966022541	8942.919352095489	8739.56732691906	7305.618166620119	1	2	74.7	648	nan																									
5627	2017	3	11	7770	1160	6629	1700	1	0.0114	1742	434	18	171	863	1.042	1.054	1.007	1.109415842	1.131673267	1.199306931	1.196980198	1.279831683	1.074247525	1.414792079	1.658792079	1.055613861	1.059613861	1.04570297	1.029663366	1.037326733	1.016782178	1643.4873706495998	1738.0837043599	1676.875968376794	1627.5586912397512	6644.0	6894.3045010304	6793.1100208804	6965.261135216491	2239.966539496	2424.024703486428	2833.0225146991897	2916.604348178093	8287.4873706496	8632.3882053903	8469.985989257195	8592.819826456242	7277.248676612203	1	1	74.7	652	nan																									
5628	2017	3	12	9360	2820	6563	1630	1	-0.0004	1524	452	58	182	774	1.014	1.008	0.995	1.019841584	1.039435644	1.070871287	1.064089109	1.11	1.051237624	1.292851485	1.51749505	1.017168317	1.012623762	1.005811881	1.003920792	1.013376238	1.002861386	1508.6205982496	1495.7881137788602	1498.0580915677122	1452.3073607991596	6629.0	6793.1100208804	6814.355935030399	6782.516861857171	1955.225753896	2503.442468428507	2673.487421076943	2827.4411439919727	8137.620598249599	8288.89813465926	8312.414026598111	8234.82422265633	7265.100016067452	1	1	74.73	644	nan																									
5629	2017	4	13	12670	5610	7091	3490	0	-0.0106	2368	602	316	457	874	1.002	1.002	1.004	1.002831683	0.992207921	1.000910891	0.993425743	1.011277228	1.021247525	1.115594059	1.250643564	1.015485149	1.015544554	1.018861386	1.028	1.022128713	1.020663366	2118.1687778496	1989.2288994170203	1803.5562852458631	1826.4715123082956	6563.0	6814.355935030399	6651.6302819804	6855.528679175691	2221.081468896	2474.978974391507	2681.01005962302	2653.2812129688828	8681.1687778496	8803.58483444742	8455.186567226263	8682.000191483987	7264.492393978033	1	1	74.81	666	nan																									
5630	2017	4	14	10320	3300	7042	4030	0	0.0144	3129	841	141	802	1106	0.977	0.975	1.015	0.971237624	0.97190099	0.975019802	0.967663366	0.975851485	1.004445545	0.997079208	1.017693069	1.004831683	1.005029703	1.011623762	1.024990099	1.014782178	1.01160396	3646.4519974496006	3111.4047690391803	2761.7477256548204	2527.3651763738835	7091.0	6651.6302819804	7012.8838233304	6864.392357210852	3576.6540430960004	3455.521436911948	3224.6047144429867	3040.4365849337905	10737.4519974496	9763.03505101958	9774.63154898522	9391.757533584736	7317.591400316484	1	2	74.91	695	nan																									
5631	2017	4	15	10190	3100	7099	4560	0	-0.0146	3497	927	92	694	2144	0.985	0.982	1.018	0.996683168	0.982514851	0.985455446	0.975217822	0.984910891	0.997326733	0.937970297	0.875247525	1.001089109	1.001207921	1.006693069	1.011871287	1.004544554	1.011316832	2946.9786510496	2631.9858068377403	2434.569078376497	2132.870113667644	7042.0	7012.8838233304	7086.4346528204005	7137.572537450732	3849.116396696	3501.314048307468	3244.553077150337	2992.853370450547	9988.9786510496	9644.86963016814	9521.003731196895	9270.442651118376	7333.645846146486	1	2	74.99	716	nan																									
5632	2017	4	16	9950	2970	6997	3780	0	0.019	3184	868	45	437	2727	0.988	0.985	1.023	1.023336634	1.00060396	1.002049505	0.997118812	1.001415842	0.995227723	0.949445545	0.898623762	1.005960396	1.00980198	1.017138614	1.010148515	1.010465347	1.028158416	2704.6097390496	2491.8824840025404	2173.856409597311	1859.105349187987	7099.0	7086.4346528204005	7186.5554187404005	7171.670416054644	4118.503192696	3678.455983594668	3312.924753620284	2969.77670263829	9803.6097390496	9578.31713682294	9360.411828337712	9030.775765242632	7362.693918382394	1	2	75.03	723	nan																									
