Year,Month,QM,ontLevel,
2016,1,1,74.53,
2016,1,2,74.58,
2016,1,3,74.63,
2016,1,4,74.67,
2016,2,5,74.72,
2016,2,6,74.77,
2016,2,7,74.82,
2016,2,8,74.87,
2016,3,9,74.92,
2016,3,10,74.95,
2016,3,11,74.98,
2016,3,12,75.01,
2016,4,13,75.04,
2016,4,14,75.06,
2016,4,15,75.08,
2016,4,16,75.10,
2016,5,17,75.12,
2016,5,18,75.10,
2016,5,19,75.08,
2016,5,20,75.06,
2016,6,21,75.04,
2016,6,22,75.03,
2016,6,23,75.02,
2016,6,24,75.00,
2016,7,25,74.99,
2016,7,26,74.97,
2016,7,27,74.94,
2016,7,28,74.92,
2016,8,29,74.89,
2016,8,30,74.87,
2016,8,31,74.85,
2016,8,32,74.82,
2016,9,33,74.80,
2016,9,34,74.75,
2016,9,35,74.70,
2016,9,36,74.65,
2016,10,37,74.60,
2016,10,38,74.58,
2016,10,39,74.56,
2016,10,40,74.53,
2016,11,41,74.51,
2016,11,42,74.50,
2016,11,43,74.49,
2016,11,44,74.47,
2016,12,45,74.46,
2016,12,46,74.47,
2016,12,47,74.47,
2016,12,48,74.47,
